"relative_path","extension","bytes","last_write_time","likely_data","generated_by_codex"
".gitignore",".gitignore","296","2026-07-07 21:28:13","no","no"
"1-CountryData.ES-s.R",".r","15357","2026-07-07 21:13:56","no","no"
"1-CountryData_PanelCompleto-s.R",".r","3645","2026-07-07 21:13:56","no","no"
"1-LoadingData-s.R",".r","18247","2026-07-07 21:13:56","no","no"
"2-CountryData-s.R",".r","183145","2026-07-07 21:13:56","no","no"
"2-CountryFigures.ES-s.R",".r","101134","2026-07-07 21:13:56","no","no"
"3-CountryFigures-s.R",".r","114106","2026-07-07 21:13:56","no","no"
"3-CountryFigures.ES-2-s.R",".r","18933","2026-07-07 21:13:56","no","no"
"4-Analisis Total Productive-s.R",".r","26977","2026-07-07 21:13:56","no","no"
"4-CountryFigures-2-s.R",".r","22262","2026-07-07 21:13:56","no","no"
"EconomicSector-CountryFigures-ipc.tex",".tex","5294","2026-07-07 21:13:56","no","no"
"EconomicSector-CountryFigures.tex",".tex","4997","2026-07-07 21:13:56","no","no"
"EconomicSector-Sectors-ipc.tex",".tex","2864","2026-07-07 21:13:56","no","no"
"EconomicSector-TotalProductiveCredit.tex",".tex","5531","2026-07-07 21:13:56","no","no"
"LICENSE","","411","2026-07-07 21:18:36","no","no"
"Proceditures-actualization-Credit-Type.pdf",".pdf","171996","2026-07-07 21:13:56","no","no"
"Proceditures-actualization-EconomicSector.pdf",".pdf","163750","2026-07-07 21:13:56","no","no"
"Proceditures-actualization-PanelCompleto.pdf",".pdf","131767","2026-07-07 21:13:56","no","no"
"R code explanation.pdf",".pdf","105285","2026-07-07 21:13:56","no","no"
"README.md",".md","4233","2026-07-07 21:22:09","no","no"
"requirements.txt",".txt","609","2026-07-07 21:18:36","yes","no"
"dashboard/app.R",".r","6147","2026-07-07 21:31:44","no","yes"
"dashboard/global.R",".r","941","2026-07-07 21:27:46","no","yes"
"dashboard/www/style.css",".css","575","2026-07-07 21:27:46","no","yes"
"data/metadata/load_status.csv",".csv","355","2026-07-07 21:30:28","yes","yes"
"data/metadata/qc_country_coverage.csv",".csv","1064","2026-07-07 21:30:28","yes","yes"
"data/metadata/qc_missing_values.csv",".csv","157","2026-07-07 21:30:28","yes","yes"
"data/metadata/README.md",".md","214","2026-07-07 21:18:36","no","yes"
"data/metadata/source_inventory.csv",".csv","355","2026-07-07 21:30:28","yes","yes"
"data/metadata/validation_report.md",".md","200","2026-07-07 21:30:28","no","yes"
"data/processed/financial_development_panel.csv",".csv","264","2026-07-07 21:30:28","yes","yes"
"data/processed/financial_development_panel_base.csv",".csv","80","2026-07-07 21:30:28","yes","yes"
"data/processed/README.md",".md","226","2026-07-07 21:18:36","no","yes"
"data/raw/README.md",".md","603","2026-07-07 21:18:36","no","no"
"docs/DATA_AUDIT.md",".md","7446","2026-07-07 21:21:22","no","yes"
"docs/METHODOLOGY.md",".md","3888","2026-07-07 21:20:23","no","yes"
"docs/PORTFOLIO_CLASSIFICATION.md",".md","1259","2026-07-07 21:20:23","no","yes"
"docs/REPLICATION_GUIDE.md",".md","1588","2026-07-07 21:21:22","no","yes"
"docs/VARIABLE_DICTIONARY.md",".md","5064","2026-07-07 21:21:22","no","yes"
"outputs/dashboard/dashboard_kpi.csv",".csv","229","2026-07-07 21:30:28","yes","yes"
"outputs/dashboard/dashboard_panel.csv",".csv","220","2026-07-07 21:30:28","yes","yes"
"outputs/dashboard/README.md",".md","140","2026-07-07 21:18:36","no","yes"
"outputs/figures/figure_01_long_run_rise_of_credit.pdf",".pdf","795","2026-07-07 21:30:29","no","yes"
"outputs/figures/figure_01_long_run_rise_of_credit.png",".png","41769","2026-07-07 21:30:29","no","yes"
"outputs/figures/figure_02_productive_vs_non_productive_credit.pdf",".pdf","814","2026-07-07 21:30:29","no","yes"
