"country","institution","topic","url","downloaded","http_status","bytes","path","note","error","observed_at"
"Argentina","BCRA","Credit by type legacy workbook","https://www.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/seriese.xls","True","200","11132928","data/raw/public_sources/argentina/bcra_seriese.xls","Original R script imports PRESTAMOS sheet.","","2026-07-08T00:09:38"
"Brazil","Banco Central do Brasil","Monthly credit workbook zip","https://www.bcb.gov.br/ftp/notaecon/ni202605pmp.zip","False",,"0","","Legacy script used a two-month lag file in /ftp/notaecon.","The remote server returned an error: (404) Not Found.","2026-07-08T00:09:39"
"Chile","CMF/SBIF API mirror","Consumer credit","https://best-sbif-api.azurewebsites.net/CuadroExcel/?Tag=SBIF_DEUD_CCS_TRMD_MM$&Orientacion=V&TodosLosElementos=true&&nocache=1604407028355","True","200","28012","data/raw/public_sources/chile/consumer_credit.xlsx","Legacy script used the former SBIF Azure endpoint.","","2026-07-08T00:09:43"
"Chile","CMF/SBIF API mirror","Mortgage credit","https://best-sbif-api.azurewebsites.net/CuadroExcel/?Tag=SBIF_DEUD_CHV_TRMD_MM$&Orientacion=V&TodosLosElementos=true&&nocache=1604407028355","True","200","27122","data/raw/public_sources/chile/mortgage_credit.xlsx","Legacy script used the former SBIF Azure endpoint.","","2026-07-08T00:09:47"
"Chile","CMF/SBIF API mirror","Commercial credit","https://best-sbif-api.azurewebsites.net/CuadroExcel/?Tag=SBIF_DEUD_CCO_TRMD_MM$&Orientacion=V&TodosLosElementos=true&&nocache=1604407028355","True","200","32760","data/raw/public_sources/chile/commercial_credit.xlsx","Legacy script used the former SBIF Azure endpoint.","","2026-07-08T00:09:51"
"Chile","CMF/SBIF API mirror","Enterprise credit by debtor size","https://best-sbif-api.azurewebsites.net/CuadroExcel/?Tag=SBIF_CART_CCO_TAMDEU_MM$_MONT&Orientacion=V&TodosLosElementos=true&&nocache=1604407028355","True","200","20534","data/raw/public_sources/chile/enterprise_credit_by_size.xlsx","Legacy script used the former SBIF Azure endpoint.","","2026-07-08T00:09:53"
"Costa Rica","BCCR","Credit by type export","https://gee.bccr.fi.cr/indicadoreseconomicos/Cuadros/frmVerCatCuadro.aspx?CodCuadro=144&Idioma=1&FecInicial=1997/12/31&FecFinal=2026/5/08&Filtro=0&Exportar=True","True","200","370807","data/raw/public_sources/costa_rica/bccr_credit_type.xls","Legacy script exported Cuadro 144.","","2026-07-08T00:09:57"
"Dominican Republic","Superintendencia de Bancos","Credit time series","https://sb.gob.do/sites/default/files/nuevosdocumentos/estadisticas/seriestiempo/D-Cartera-de-Creditos.xlsx","False",,"0","","Current URL used by legacy script.","The remote server returned an error: (404) Not Found.","2026-07-08T00:09:58"
"El Salvador","SSF","Bank balance XLS","https://ssf.gob.sv/descargas/balances/xls/s_sa_0526.xls","True","200","98816","data/raw/public_sources/el_salvador/s_sa_0526.xls","Legacy dynamic monthly balance file.","","2026-07-08T00:09:59"
"Nicaragua","BCN","Financial societies credit table","https://www.bcn.gob.ni/estadisticas/monetario_financiero/financiero/sociedades_financieras/5-10.xls","False",,"0","","Legacy static XLS source.","The remote server returned an error: (404) Not Found.","2026-07-08T00:10:00"
"Panama","Superintendencia de Bancos de Panama","Sectoral credit RE0022","https://www.superbancos.gob.pa/superbancos/documentos/financiera_y_estadistica/reportes_estadisticos/2026/05/cartera_sectorial_trimestral/RE-RANKING-en-RE0022.xlsx","False",,"0","","Legacy dynamic quarterly source.","The remote server returned an error: (404) Not Found.","2026-07-08T00:10:01"
"Panama","Superintendencia de Bancos de Panama","Sectoral credit RE0023","https://www.superbancos.gob.pa/superbancos/documentos/financiera_y_estadistica/reportes_estadisticos/2026/05/cartera_sectorial_trimestral/RE-RANKING-en-RE0023.xlsx","False",,"0","","Legacy dynamic quarterly source.","The remote server returned an error: (404) Not Found.","2026-07-08T00:10:01"
"Panama","Superintendencia de Bancos de Panama","Sectoral credit RE0024","https://www.superbancos.gob.pa/superbancos/documentos/financiera_y_estadistica/reportes_estadisticos/2026/05/cartera_sectorial_trimestral/RE-RANKING-en-RE0024.xlsx","False",,"0","","Legacy dynamic quarterly source.","The remote server returned an error: (404) Not Found.","2026-07-08T00:10:02"
"Panama","Superintendencia de Bancos de Panama","Credit facilities","https://www.superbancos.gob.pa/superbancos/documentos/financiera_y_estadistica/reportes_estadisticos/2026/05/cartera_sectorial_trimestral/Creditos_Facilidad.xlsx","False",,"0","","Legacy dynamic credit facilities source.","The remote server returned an error: (404) Not Found.","2026-07-08T00:10:02"
"Panama","Superintendencia de Bancos de Panama","Enterprise credit static legacy","https://www.superbancos.gob.pa/superbancos/documentos/financiera_y_estadistica/reportes_estadisticos/2020/10/cartera_sectorial/RE-CREDITO-en-RE0035.xlsx","False",,"0","","Static legacy source referenced by script.","The remote server returned an error: (404) Not Found.","2026-07-08T00:10:02"
"Paraguay","Banco Central del Paraguay","Financial indicators workbook","https://www.bcp.gov.py/userfiles/files/Ind%20Financ%20mayo%202026%20-Saldos-web.xlsx","False",,"0","","Legacy dynamic monthly saldos workbook.","The request was aborted: The connection was closed unexpectedly.","2026-07-08T00:10:04"
"Peru","SBS Peru","Financial statistics zip","https://intranet2.sbs.gob.pe/estadistica/financiera/2026/May/SF-2101-052026.ZIP","False",,"0","","Legacy dynamic monthly zip.","The remote server returned an error: (404) Not Found.","2026-07-08T00:10:04"
"Venezuela","SUDEBAN","Monthly statistics zip","http://www.sudeban.gob.ve/wp-content/uploads/Estadisticas/2026/SA-2026-05.zip","False",,"0","","Legacy dynamic monthly zip; often unavailable.","Unable to connect to the remote server","2026-07-08T00:10:25"
"Bolivia","ASOBAN","Monthly financial system report PDF page","https://www.asoban.bo/publications-page/3","False",,"0","","Legacy script scraped ASOBAN publications.","The remote server returned an error: (404) Not Found.","2026-07-08T00:10:26"
"Colombia","Superintendencia Financiera","Credit portfolio workbook page","https://www.superfinanciera.gov.co/inicio/informes-y-cifras/cifras/establecimientos-de-credito/informacion-periodica/mensual/evolucion-cartera-de-creditos-60950","False",,"0","","Legacy script scraped xlsx links containing /ca.","The remote server returned an error: (500) Internal Server Error.","2026-07-08T00:10:27"
"Ecuador","Superintendencia de Bancos","Bank bulletin zip page","http://estadisticas.superbancos.gob.ec/portalestadistico/portalestudios/?page_id=415","False",,"0","","Legacy script scraped BOL zip files.","The remote name could not be resolved: 'estadisticas.superbancos.gob.ec'","2026-07-08T00:10:27"
"Latin America sample","World Bank WDI","Domestic credit to private sector by banks (% of GDP)","https://api.worldbank.org/v2/country/ARG;BOL;BRA;CHL;COL;CRI;DOM;ECU;SLV;GTM;HND;MEX;NIC;PAN;PRY;PER;VEN/indicator/FS.AST.PRVT.GD.ZS?format=json&per_page=20000&date=1960:2025","True","200","262214","data/raw/world_bank_wdi/private_credit_gdp.json","Official API download for reconstructed analytical panel.","","2026-07-08T00:10:30"
"Latin America sample","World Bank WDI","Domestic credit provided by financial sector (% of GDP)","https://api.worldbank.org/v2/country/ARG;BOL;BRA;CHL;COL;CRI;DOM;ECU;SLV;GTM;HND;MEX;NIC;PAN;PRY;PER;VEN/indicator/FS.AST.DOMS.GD.ZS?format=json&per_page=20000&date=1960:2025","True","200","271695","data/raw/world_bank_wdi/domestic_credit_financial_sector_gdp.json","Official API download for reconstructed analytical panel.","","2026-07-08T00:10:31"
"Latin America sample","World Bank WDI","Broad money (% of GDP)","https://api.worldbank.org/v2/country/ARG;BOL;BRA;CHL;COL;CRI;DOM;ECU;SLV;GTM;HND;MEX;NIC;PAN;PRY;PER;VEN/indicator/FM.LBL.BMNY.GD.ZS?format=json&per_page=20000&date=1960:2025","True","200","242293","data/raw/world_bank_wdi/broad_money_gdp.json","Official API download for reconstructed analytical panel.","","2026-07-08T00:10:32"
