"Country","iso3","Date","Year","TotalCreditProxy","PrivateSectorCreditProxy","OtherDomesticCreditProxy","PrivateCreditShareFinancialCredit","DatasetScope","Source"
"Argentina","ARG","1960-12-31","1960","21.6715343239319","13.6112443648555","8.0602899590764","62.8070175438598","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1961-12-31","1961","18.7641792149707","14.0881217748183","4.6760574401524","75.0798722044731","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1962-12-31","1962","17.2659768639598","12.0111143401459","5.2548625238139","69.5652173913041","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1963-12-31","1963","17.9507787335224","11.5200601982166","6.4307185353058","64.1758241758243","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1964-12-31","1964","17.442243973229","10.6266940953325","6.8155498778965","60.9250398724083","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1965-12-31","1965","16.1872739156397","10.1066697396366","6.0806041760031","62.4358974358975","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1966-12-31","1966","17.6801283447187","11.0604753990949","6.6196529456238","62.5587958607711","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1967-12-31","1967","18.6515423471004","10.9435707274347","7.7079716196657","58.6738111185535","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1968-12-31","1968","21.1501261693377","13.8659232883292","7.2842028810085","65.5595298926928","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1969-12-31","1969","22.2309581701541","15.9785011847982","6.2524569853559","71.8749999999997","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1970-12-31","1970","24.9458431556622","17.5387441024278","7.4070990532344","70.3072812291248","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1971-12-31","1971","24.0289311647216","18.0216983735412","6.0072327911804","75","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1972-12-31","1972","19.433967474016","17.6345260412367","1.7994414327793","90.7407407407405","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1973-12-31","1973","27.4901879012225","16.705575724589","10.7846121766335","60.7692307692306","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1974-12-31","1974","30.371312312636","19.1738082781793","11.1975040344567","63.1313131313132","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1975-12-31","1975","28.7594771456156","16.4413498377265","12.3181273078891","57.1684587813621","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1976-12-31","1976","20.3441509421658","13.5627672947772","6.7813836473886","66.6666666666667","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1977-12-31","1977","26.4137652814314","18.3829098551528","8.0308554262786","69.5959461261503","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1978-12-31","1978","29.3715442265546","20.5571174145111","8.8144268120435","69.9899101523084","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1979-12-31","1979","31.2808593286715","24.0562276278008","7.2246317008707","76.9039858369596","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1980-12-31","1980","32.9601091605569","25.3957927510595","7.5643164094974","77.0500869015642","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1981-12-31","1981","48.4498895498259","33.5523067782622","14.8975827715637","69.2515650500235","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1982-12-31","1982","45.9987644434275","33.9063722686192","12.0923921748083","73.7114848167707","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1983-12-31","1983","46.2096995159375","28.1182756416111","18.0914238743264","60.8492934084396","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1984-12-31","1984","41.748912658676","25.0009988367976","16.7479138218784","59.8841915745129","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1985-12-31","1985","32.5730009425071","17.3641413760603","15.2088595664468","53.3083869266723","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1986-12-31","1986","32.8696858004227","16.9072294948969","15.9624563055258","51.4371497116029","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1987-12-31","1987","47.5856773657119","21.2973148810876","26.2883624846243","44.7557249577653","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1988-12-31","1988","42.6744673245575","20.3358354792818","22.3386318452757","47.6534020322248","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1989-12-31","1989","80.0556763398612","39.7174950191489","40.3381813207123","49.612340854552","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1990-12-31","1990","32.4207077674654","15.6016948142115","16.8190129532539","48.1226225106289","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1991-12-31","1991","22.7990352906324","12.5872034907184","10.211831799914","55.2093688625948","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1992-12-31","1992","22.4785777565544","15.4453354474077","7.0332423091467","68.7113553832563","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1993-12-31","1993","25.9935337266753","18.2846049267413","7.708928799934","70.3428980415122","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1994-12-31","1994","26.5787635954009","20.280577998757","6.2981855966439","76.3036923292635","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1995-12-31","1995","27.8679507463713","19.9606075608912","7.9073431854801","71.6256740316303","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1996-12-31","1996","28.2203103254734","20.1870018252819","8.0333085001915","71.5335926233946","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1997-12-31","1997","30.3761991265421","21.9334587634322","8.4427403631099","72.2060672306668","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1998-12-31","1998","32.502843552354","24.1532987732827","8.3495447790713","74.311340588948","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","1999-12-31","1999","35.5044239797124","24.8933437498898","10.6110802298226","70.1133576033063","official annual equivalent; not regulator product-level split","World Bank WDI"
"Argentina","ARG","2000-12-31","2000","34.4516920194227","23.8947336198062","10.5569583996165","69.3572135915274","official annual equivalent; not regulator product-level split","World Bank WDI"
