"iso3","country","year","indicator_code","variable","value","source"
"ARG","Argentina","2025","FS.AST.PRVT.GD.ZS","private_credit_gdp","17.59829273545","World Bank WDI"
"ARG","Argentina","2024","FS.AST.PRVT.GD.ZS","private_credit_gdp","15.1176778381075","World Bank WDI"
"ARG","Argentina","2023","FS.AST.PRVT.GD.ZS","private_credit_gdp","15.3570823376105","World Bank WDI"
"ARG","Argentina","2022","FS.AST.PRVT.GD.ZS","private_credit_gdp","12.8891009335255","World Bank WDI"
"ARG","Argentina","2021","FS.AST.PRVT.GD.ZS","private_credit_gdp","13.2644289814535","World Bank WDI"
"ARG","Argentina","2020","FS.AST.PRVT.GD.ZS","private_credit_gdp","15.746489768328","World Bank WDI"
"ARG","Argentina","2019","FS.AST.PRVT.GD.ZS","private_credit_gdp","14.4776292447323","World Bank WDI"
"ARG","Argentina","2017","FS.AST.PRVT.GD.ZS","private_credit_gdp","15.9584973420583","World Bank WDI"
"ARG","Argentina","2016","FS.AST.PRVT.GD.ZS","private_credit_gdp","13.6676334273514","World Bank WDI"
"ARG","Argentina","2015","FS.AST.PRVT.GD.ZS","private_credit_gdp","14.4142330417064","World Bank WDI"
"ARG","Argentina","2014","FS.AST.PRVT.GD.ZS","private_credit_gdp","13.8237692455151","World Bank WDI"
"ARG","Argentina","2013","FS.AST.PRVT.GD.ZS","private_credit_gdp","15.7290920133564","World Bank WDI"
"ARG","Argentina","2012","FS.AST.PRVT.GD.ZS","private_credit_gdp","15.2128150156924","World Bank WDI"
"ARG","Argentina","2011","FS.AST.PRVT.GD.ZS","private_credit_gdp","14.0087151168124","World Bank WDI"
"ARG","Argentina","2010","FS.AST.PRVT.GD.ZS","private_credit_gdp","12.6901062454749","World Bank WDI"
"ARG","Argentina","2009","FS.AST.PRVT.GD.ZS","private_credit_gdp","12.4162075416805","World Bank WDI"
"ARG","Argentina","2008","FS.AST.PRVT.GD.ZS","private_credit_gdp","12.313946714342","World Bank WDI"
"ARG","Argentina","2007","FS.AST.PRVT.GD.ZS","private_credit_gdp","13.0985413493544","World Bank WDI"
"ARG","Argentina","2006","FS.AST.PRVT.GD.ZS","private_credit_gdp","11.9102616607561","World Bank WDI"
"ARG","Argentina","2005","FS.AST.PRVT.GD.ZS","private_credit_gdp","10.6534929189359","World Bank WDI"
"ARG","Argentina","2004","FS.AST.PRVT.GD.ZS","private_credit_gdp","9.68251819633223","World Bank WDI"
