"Country","iso3","latest_year","composite_index_equal","composite_index_credit_heavy","composite_index_stability_sensitive","private_credit_gdp","rank_equal","rank_credit_heavy","rank_stability_sensitive"
"Brazil","BRA","2025","66.07","72.29","66.72","75.1","1","1","1"
"Chile","CHL","2025","59.23","68.16","61.14","102.08","2","2","2"
"Honduras","HND","2024","59.01","64.05","59.89","78.46","3","3","3"
"Paraguay","PRY","2025","58.7","54.63","56.99","55.7","4","7","5"
"El Salvador","SLV","2025","57.43","57.81","57.92","64.37","5","4","4"
"Ecuador","ECU","2025","56.41","55.45","56.53","58.87","6","6","6"
"Nicaragua","NIC","2024","54.55","45.88","51.86","32.33","7","11","7"
"Peru","PER","2024","52.37","46.87","51.32","39.62","8","8","8"
"Guatemala","GTM","2025","49.9","45.78","49.65","37.23","9","12","9"
"Colombia","COL","2025","47.46","43.03","46.57","39.86","10","13","11"
"Costa Rica","CRI","2025","46.19","46.58","47.87","51.03","11","9","10"
"Argentina","ARG","2025","44.52","32.99","42.04","17.6","12","16","15"
"Mexico","MEX","2025","43.82","40.61","43.96","35.5","13","14","13"
"Dominican Republic","DOM","2025","43.2","38.67","42.97","32.85","14","15","14"
"Bolivia","BOL","2025","42.67","45.95","41.8","51.75","15","10","16"
"Panama","PAN","2020","36.09","56.03","44.75","100.15","16","5","12"
"Venezuela","VEN","2013","31.09","32.03","26.64","27.47","17","17","17"
