"variable_a","variable_b","correlation"
"private_credit_gdp","private_credit_gdp","1"
"private_credit_gdp","domestic_credit_financial_sector_gdp","0.886"
"private_credit_gdp","broad_money_gdp","0.831"
"private_credit_gdp","gdp_growth_annual_pct","-0.078"
"private_credit_gdp","inflation_annual_pct","-0.021"
"private_credit_gdp","sector_value_added_hhi","0.246"
"private_credit_gdp","sector_diversification","-0.246"
"domestic_credit_financial_sector_gdp","private_credit_gdp","0.886"
"domestic_credit_financial_sector_gdp","domestic_credit_financial_sector_gdp","1"
"domestic_credit_financial_sector_gdp","broad_money_gdp","0.786"
"domestic_credit_financial_sector_gdp","gdp_growth_annual_pct","-0.094"
"domestic_credit_financial_sector_gdp","inflation_annual_pct","-0.109"
"domestic_credit_financial_sector_gdp","sector_value_added_hhi","0.121"
"domestic_credit_financial_sector_gdp","sector_diversification","-0.121"
"broad_money_gdp","private_credit_gdp","0.831"
"broad_money_gdp","domestic_credit_financial_sector_gdp","0.786"
"broad_money_gdp","broad_money_gdp","1"
"broad_money_gdp","gdp_growth_annual_pct","-0.119"
"broad_money_gdp","inflation_annual_pct","-0.033"
"broad_money_gdp","sector_value_added_hhi","0.263"
"broad_money_gdp","sector_diversification","-0.263"
"gdp_growth_annual_pct","private_credit_gdp","-0.078"
"gdp_growth_annual_pct","domestic_credit_financial_sector_gdp","-0.094"
"gdp_growth_annual_pct","broad_money_gdp","-0.119"
"gdp_growth_annual_pct","gdp_growth_annual_pct","1"
"gdp_growth_annual_pct","inflation_annual_pct","-0.128"
"gdp_growth_annual_pct","sector_value_added_hhi","-0.159"
"gdp_growth_annual_pct","sector_diversification","0.159"
"inflation_annual_pct","private_credit_gdp","-0.021"
"inflation_annual_pct","domestic_credit_financial_sector_gdp","-0.109"
"inflation_annual_pct","broad_money_gdp","-0.033"
"inflation_annual_pct","gdp_growth_annual_pct","-0.128"
"inflation_annual_pct","inflation_annual_pct","1"
"inflation_annual_pct","sector_value_added_hhi","0.013"
"inflation_annual_pct","sector_diversification","-0.013"
"sector_value_added_hhi","private_credit_gdp","0.246"
"sector_value_added_hhi","domestic_credit_financial_sector_gdp","0.121"
"sector_value_added_hhi","broad_money_gdp","0.263"
"sector_value_added_hhi","gdp_growth_annual_pct","-0.159"
"sector_value_added_hhi","inflation_annual_pct","0.013"
"sector_value_added_hhi","sector_value_added_hhi","1"
"sector_value_added_hhi","sector_diversification","-1"
"sector_diversification","private_credit_gdp","-0.246"
"sector_diversification","domestic_credit_financial_sector_gdp","-0.121"
"sector_diversification","broad_money_gdp","-0.263"
"sector_diversification","gdp_growth_annual_pct","0.159"
"sector_diversification","inflation_annual_pct","-0.013"
"sector_diversification","sector_value_added_hhi","-1"
"sector_diversification","sector_diversification","1"
