"Country","iso3","first_year","latest_year","observations","private_credit_first","private_credit_latest","change_pp","avg_growth"
"Argentina","ARG","1960","2025","65","13.61","17.6","3.99","2.39"
"Bolivia","BOL","1960","2025","66","1.68","51.75","50.07","3.29"
"Brazil","BRA","1960","2025","64","17.97","75.1","57.13","3.78"
"Chile","CHL","2001","2025","25","73.08","102.08","29","3.36"
"Colombia","COL","1960","2025","64","22.95","39.86","16.91","3.93"
"Costa Rica","CRI","2005","2025","21","35.86","51.03","15.17","4.03"
"Dominican Republic","DOM","2004","2025","22","23.64","32.85","9.21","4.98"
"Ecuador","ECU","2002","2025","24","19.07","58.87","39.8","3.33"
"El Salvador","SLV","2001","2025","25","45.91","64.37","18.46","2.22"
"Guatemala","GTM","2001","2025","25","22.77","37.23","14.47","3.52"
"Honduras","HND","2001","2024","24","36.68","78.46","41.78","3.72"
"Mexico","MEX","1997","2025","29","20.31","35.5","15.19","2.02"
"Nicaragua","NIC","2001","2024","24","13.72","32.33","18.62","3.32"
"Panama","PAN","2010","2020","11","82.07","100.15","18.08","3.94"
"Paraguay","PRY","1960","2025","66","8.15","55.7","47.55","4.55"
"Peru","PER","1960","2024","65","9.83","39.62","29.79","3.5"
"Venezuela","VEN","1960","2013","54","15.68","27.47","11.8","2.9"
