"model","term","estimate","std_error","t_stat","n","r_squared","note"
"Pooled OLS: private credit depth","intercept","-79.47981","12.21725","-6.506","541","0.166","OLS estimated in PowerShell from reconstructed WDI panel."
"Pooled OLS: private credit depth","gdp_growth_annual_pct","-0.30089","0.25435","-1.183","541","0.166","OLS estimated in PowerShell from reconstructed WDI panel."
"Pooled OLS: private credit depth","inflation_annual_pct","-0.00087","0.00146","-0.593","541","0.166","OLS estimated in PowerShell from reconstructed WDI panel."
"Pooled OLS: private credit depth","log_gdp_current_usd","4.81916","0.48944","9.846","541","0.166","OLS estimated in PowerShell from reconstructed WDI panel."
"Pooled OLS: financial-sector credit depth","intercept","4.34284","2.92877","1.483","314","0.588","OLS estimated in PowerShell from reconstructed WDI panel."
"Pooled OLS: financial-sector credit depth","broad_money_gdp","1.15832","0.0566","20.465","314","0.588","OLS estimated in PowerShell from reconstructed WDI panel."
"Pooled OLS: financial-sector credit depth","gdp_growth_annual_pct","-0.79102","0.27603","-2.866","314","0.588","OLS estimated in PowerShell from reconstructed WDI panel."
"Pooled OLS: financial-sector credit depth","inflation_annual_pct","-0.00305","0.00224","-1.362","314","0.588","OLS estimated in PowerShell from reconstructed WDI panel."
"Pooled OLS: credit depth and structural concentration","intercept","-77.12616","12.40039","-6.22","511","0.179","OLS estimated in PowerShell from reconstructed WDI panel."
"Pooled OLS: credit depth and structural concentration","sector_value_added_hhi","73.37727","15.29308","4.798","511","0.179","OLS estimated in PowerShell from reconstructed WDI panel."
"Pooled OLS: credit depth and structural concentration","log_gdp_current_usd","3.54195","0.55855","6.341","511","0.179","OLS estimated in PowerShell from reconstructed WDI panel."
"Pooled OLS: credit depth and structural concentration","inflation_annual_pct","0.00089","0.00168","0.531","511","0.179","OLS estimated in PowerShell from reconstructed WDI panel."
