"variable","Country","iso3","Year","value","lower_fence","upper_fence","reason"
"private_credit_gdp","Brazil","BRA","1993","134.114","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Brazil","BRA","1989","127.747","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2020","123.533","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2019","123.239","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2018","116.098","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2022","112.67","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2017","111.86","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2016","109.659","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2023","109.505","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2021","109.259","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2015","108.683","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2014","107.294","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Brazil","BRA","1988","105.391","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2024","104.568","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2012","104.267","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2013","104.149","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2009","102.687","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2025","102.084","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2011","101.863","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2008","100.173","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Panama","PAN","2020","100.154","-25.008","88.204","Outside 1.5 x IQR fence"
"private_credit_gdp","Chile","CHL","2010","99.476","-25.008","88.204","Outside 1.5 x IQR fence"
"domestic_credit_financial_sector_gdp","Chile","CHL","2020","146.756","-23.583","114.01","Outside 1.5 x IQR fence"
"domestic_credit_financial_sector_gdp","Chile","CHL","2019","141.972","-23.583","114.01","Outside 1.5 x IQR fence"
"domestic_credit_financial_sector_gdp","Chile","CHL","2022","132.96","-23.583","114.01","Outside 1.5 x IQR fence"
"domestic_credit_financial_sector_gdp","Chile","CHL","2018","132.146","-23.583","114.01","Outside 1.5 x IQR fence"
"domestic_credit_financial_sector_gdp","Chile","CHL","2023","130.099","-23.583","114.01","Outside 1.5 x IQR fence"
"domestic_credit_financial_sector_gdp","Chile","CHL","2017","127.271","-23.583","114.01","Outside 1.5 x IQR fence"
"domestic_credit_financial_sector_gdp","Chile","CHL","2021","127.199","-23.583","114.01","Outside 1.5 x IQR fence"
"domestic_credit_financial_sector_gdp","Chile","CHL","2024","127.198","-23.583","114.01","Outside 1.5 x IQR fence"
"domestic_credit_financial_sector_gdp","Chile","CHL","2025","125.656","-23.583","114.01","Outside 1.5 x IQR fence"
