"variable","non_missing","total_rows","coverage_pct","countries_with_data"
"private_credit_gdp","674","1122","60.1","17"
"domestic_credit_financial_sector_gdp","434","1122","38.7","15"
"broad_money_gdp","1077","1122","96","17"
"gdp_current_usd","1117","1122","99.6","17"
"gdp_growth_annual_pct","1100","1122","98","17"
"inflation_annual_pct","933","1122","83.2","17"
"agriculture_value_added_gdp","959","1122","85.5","17"
"industry_value_added_gdp","961","1122","85.7","17"
"services_value_added_gdp","967","1122","86.2","17"
"other_domestic_credit_gdp","384","1122","34.2","14"
"private_credit_share_financial_credit","434","1122","38.7","15"
"sector_value_added_hhi","959","1122","85.5","17"
"private_credit_index_2018","555","1122","49.5","15"
"financial_credit_index_2018","269","1122","24","12"
