"Country","iso3","rank_equal","rank_credit_heavy","rank_stability_sensitive","max_rank_shift","interpretation"
"Argentina","ARG","12","16","15","4","Sensitive to weighting assumptions"
"Bolivia","BOL","15","10","16","6","Sensitive to weighting assumptions"
"Brazil","BRA","1","1","1","0","Stable ranking across weights"
"Chile","CHL","2","2","2","0","Stable ranking across weights"
"Colombia","COL","10","13","11","3","Sensitive to weighting assumptions"
"Costa Rica","CRI","11","9","10","2","Stable ranking across weights"
"Dominican Republic","DOM","14","15","14","1","Stable ranking across weights"
"Ecuador","ECU","6","6","6","0","Stable ranking across weights"
"El Salvador","SLV","5","4","4","1","Stable ranking across weights"
"Guatemala","GTM","9","12","9","3","Sensitive to weighting assumptions"
"Honduras","HND","3","3","3","0","Stable ranking across weights"
"Mexico","MEX","13","14","13","1","Stable ranking across weights"
"Nicaragua","NIC","7","11","7","4","Sensitive to weighting assumptions"
"Panama","PAN","16","5","12","11","Sensitive to weighting assumptions"
"Paraguay","PRY","4","7","5","3","Sensitive to weighting assumptions"
"Peru","PER","8","8","8","0","Stable ranking across weights"
"Venezuela","VEN","17","17","17","0","Stable ranking across weights"
